molecule,atom,nombre,Hyd,Mol,Pol,Gas,Ab-R2,Ab-pi2H,Ab-sumA2H,Ab-sumB2H,Ab-sumB20,total
CHEMBL3740699,7,C,-0.1099442497389473,-0.00039864077988705285,-0.03507608648813276,-1.1494818586197244,4.277776743374524,-3.8874829512440012,0.0,1.0085279287715094,-0.024370965224562363,0.2740537111409129
CHEMBL3740699,8,C,-0.0764471005967033,-0.00039483881105446464,-0.022438056400607587,-1.219493599192384,4.550983791511552,-4.233222342946472,0.0,1.079060989555306,-0.024370965224562363,0.24818166898520969
CHEMBL3740699,9,C,-0.1149202360490405,-0.0010350581440761216,-0.039624301366815606,-2.361925118367205,8.945268602543564,-8.186775633900062,0.0,2.0223938871119795,0.0,0.4578859329184788
CHEMBL3740699,10,C,-0.16741177953634087,-0.001957282848673143,-0.049316326226525986,-1.9402861226980885,7.3174631631249625,-6.624038618844606,0.0,1.6196318209533949,0.0,0.348588645014257
CHEMBL3740699,11,C,-0.050104495653357464,-0.0012615351977237636,-0.044518591042212924,-1.2029514729844792,4.423961233084244,-4.1006129171732475,0.019488364868937257,0.9354757606054975,-0.024370965224562363,0.14960917237323026
CHEMBL3740699,12,C,0.19706007080491786,-0.0036228248856309416,-0.05670315480832597,-1.496691814692105,5.488156766034402,-5.444239428535443,0.15805447696953578,1.1829827084730737,0.19767560682145024,0.4171761972720103
CHEMBL3740699,13,O,0.04823306509590996,-0.00010105426003035887,-0.008664969149829636,-0.32404315792860827,1.155821953381833,-1.4138171292343051,0.058636074693302453,0.3434425850566158,-0.4908041607724365,-0.436793002027414
CHEMBL3740699,14,N,0.30228005024670407,-0.00035140803216148744,-0.03085042166009748,-1.5275511632306795,5.607501224090392,-5.432718175550342,0.10557659520832924,1.699572622762145,-0.9051105695899967,0.012852545334427368
CHEMBL3740699,15,C,0.18298363998141068,-0.0005702194492086618,-0.06220424987574147,-3.454060299502638,13.19642975991583,-12.231265990153375,0.021464942800484273,2.9927829646225215,-0.0406182753742706,0.7994460640551467
CHEMBL3740699,16,C,0.19453771986386584,-0.0031594163511829278,-0.06259418975431952,-2.6941127728846253,10.161588915949146,-9.62903620268883,-0.016124714704725665,2.266981426385552,0.19767560682145024,0.610260163726466
CHEMBL3740699,17,O,0.04823306509590996,-9.14364040003473e-05,-0.008612813610368718,-0.4914755149243155,1.8475165186099682,-1.9867828184058731,0.0,0.47920119672032246,-0.4908041607724365,-0.4083121726006589
CHEMBL3740699,18,N,0.2162049344356132,-0.00032591095698796793,-0.04858833292990537,-2.5795114946390436,9.286478991560164,-8.878518981316684,-0.09684513729604925,3.103125267342779,-1.1325729116859122,0.06395021560410763
CHEMBL3740699,19,C,0.06031683779382051,-3.7122570144553234e-05,-0.010492736086207662,-0.48739989866582145,1.7522855765603325,-1.6082028218117412,-0.016124714704725665,0.5483932822084673,0.0,0.4332421938141141
CHEMBL3740699,20,C,0.139027361366987,-0.0005542977967080748,-0.05211323538313038,-2.484119719963479,8.988906766321538,-8.149462487723381,-0.016124714704725665,2.0644092932532336,-0.0406182753742706,0.6438544810861989
CHEMBL3740699,21,C,0.20498041708235795,-0.0036187583179505007,-0.057492638662624246,-2.55192685168545,9.252568512853772,-8.699503816545775,0.0,1.9384578895691567,0.19767560682145024,0.4756441522050734
CHEMBL3740699,22,O,0.04823306509590996,-0.00010119464305757421,-0.008253442791252116,-0.4874208379208993,1.7247907454500988,-1.9137790524190863,0.0,0.4616171678154103,-0.4908041607724365,-0.47121391909517774
CHEMBL3740699,23,N,0.22867923167164167,-0.0008510934333793001,-0.038839912969885426,-2.660402743215732,9.927239467526146,-9.185814591464913,0.0,2.270944001006357,-0.488773247003723,0.24668490320664532
CHEMBL3740699,24,C,-0.22515039440830908,-0.0013808720575633324,-0.05545258303025302,-2.477775010035864,9.225557368041533,-8.30770343555474,0.0,1.9856219836767206,0.0,0.3382208477216575
CHEMBL3740699,25,C,-0.10322345798070456,-0.00046969391654604715,-0.039636809769710735,-1.125915110915836,4.06033482069479,-3.7148621535335224,0.0,0.8943207961854259,-0.024370965224562363,0.14068121662946767
CHEMBL3740699,26,C,-0.07826286462918697,-0.0002889117270541472,-0.05293109923913353,-0.7199411308461889,2.5680657450656166,-2.3644402631816144,0.0,0.5819439988827132,-0.024370965224562363,0.10427830019072423
CHEMBL3740699,27,C,-0.07826286462918697,-0.000269542235567736,-0.05999938887609613,-0.6374129077296848,2.27424734336103,-2.092322680583374,0.0,0.5164786596621822,-0.024370965224562363,0.09259144483487516
CHEMBL3740699,28,C,-0.07826286462918697,-0.00028891172705414707,-0.05293109923913342,-0.7199411308461889,2.568065745065617,-2.364440263181615,0.0,0.5819439988827132,-0.024370965224562363,0.10427830019072423
CHEMBL3740699,29,C,-0.10322345798070456,-0.0004696939165460471,-0.039636809769710735,-1.125915110915836,4.060334820694789,-3.7148621535335233,0.0,0.8943207961854259,-0.024370965224562363,0.14068121662946656
CHEMBL3740699,30,C,0.07075953501231257,-8.5743044677644e-05,-0.008281641809891147,-0.5017511140536135,1.7770444968524504,-1.6464341998585383,0.0,0.4359838931500727,0.0,0.3217390173382494
CHEMBL3740699,31,C,-0.007073445104025989,-5.07460888167039e-05,-0.011294173466270277,-0.47421750983565647,1.735569050170176,-1.5470262285601872,0.0,0.3649091636180424,0.0,0.25531990182339653
CHEMBL3740699,32,C,-0.018667040189153383,-0.00014895472118021312,-0.06998650764365483,-3.2684640149233477,12.798472001458306,-11.932705281068884,0.0,2.852000754310702,-0.09545294712953592,0.4595518011833867
CHEMBL3740699,33,C,-0.023924721260695704,-2.4941234998936723e-05,-0.015176894128461526,-0.6326776233310263,2.5060598746948894,-2.367274427996044,0.0,0.5494422712340606,0.0,0.21092732906785816
CHEMBL3740699,34,C,-0.023924721260695704,-2.4941234998936723e-05,-0.01517689412846153,-0.6326776233310261,2.5060598746948894,-2.367274427996044,0.0,0.5494422712340604,0.0,0.210927329067858
CHEMBL3740699,35,C,-0.023924721260695704,-2.4941234998936723e-05,-0.015176894128461526,-0.6326776233310261,2.5060598746948894,-2.3672744279960454,0.0,0.5494422712340604,0.0,0.21092732906785666
CHEMBL3740699,36,C,-0.04561529612837393,-0.00017507039783680318,-0.01058067929949677,-0.3981824728694764,1.4655381711270152,-1.3583407859369625,0.0,0.33586806161374155,0.0,0.1830157191987451
CHEMBL3740699,37,C,-0.07644710059670332,-0.00039483881105446453,-0.022438056400607587,-1.219493599192384,4.550983791511549,-4.233222342946472,0.0,1.079060989555306,-0.024370965224562363,0.24818166898520702
CHEMBL3740699,38,C,-0.1099442497389473,-0.0003986407798870528,-0.03507608648813276,-1.1494818586197244,4.277776743374524,-3.8874829512440017,0.0,1.0085279287715094,-0.024370965224562363,0.2740537111409127
CHEMBL5271361,1,O,0.004856783939979524,-4.1736639914753844e-05,-0.0022531809403480707,-0.437692901668286,1.4887547772895435,-1.447037533717027,0.24306268170005071,0.4821771353811704,-0.4914811320286743,0.135990655773499
CHEMBL5271361,2,C,-0.2905816468457518,-0.0010423209031392019,0.02578794674192353,-2.0259263219888233,7.900266568249458,-7.657094933644142,0.1395481424849453,2.038673933583868,0.0,0.42527713013534396
CHEMBL5271361,3,C,-0.1416256348487076,-0.000530286124087853,0.006663164401622623,-1.3900084703957374,5.461825707087453,-5.413544210093672,0.02534355020850767,1.4151342033729821,-0.024370965224562363,0.23453282084080299
CHEMBL5271361,4,C,-0.28162606858599065,-0.0009741326497611422,0.015803462289086356,-2.1782005230570203,8.627655352235337,-8.545848464082443,0.13990184590427476,2.2909545777384817,0.0,0.36331181224897
CHEMBL5271361,5,O,0.004856783939979523,-4.0306096247329554e-05,-0.0032705647450114728,-0.4424281405370296,1.5443876548834745,-1.523189883623695,0.2440451643564216,0.43609664686329097,-0.16348855838143916,0.3926145591167486
CHEMBL5271361,6,C,-0.10022980125229478,-0.001777054730029524,0.06545439028845879,-3.3455477777142075,13.499922736429257,-13.377914049786103,0.03801445505389854,3.62652419190464,0.0,0.7000928526506276
CHEMBL5271361,7,C,-0.0943141899247462,-0.0010586570585149862,0.09229578772411506,-2.9979496440233504,12.286830097438866,-12.09706286004517,0.033790820105434924,3.3255621041924366,0.0,0.8437392208660763
CHEMBL5271361,8,C,-0.2344805472334771,-0.0023891103270921874,0.07122704433604476,-2.4298469870669948,9.790736926579246,-9.52594947229823,0.02234747418595219,2.531302185421308,0.0,0.5185932760537635
